Alka, Alca torda, ALCTOR  
Szalagos keresztcsőrű, Loxia leucoptera, LOXLEU  
Szalakóta, Coracias garrulus, CORGAR  
Szárcsa, Fulica atra, FULATR  
Szarka, Pica pica, PICPIC  
Székicsér, Glareola pratincola, GLAPRA  
Széki lile, Charadrius alexandrinus, CHAALE  
Szélesfarkú halfarkas, Stercorarius pomarinus, STEPOM  
Széncinege, Parus major, PARMAJ  
Szerecsensirály, Larus melanocephalus, LARMEL  
Szikipacsirta, Calandrella brachydactyla, CALBRA  
Szirti sas, Aquila chrysaetos, AQUCHR  
Szőlőrigó, Turdus iliacus, TURILI  
Szürke cankó, Tringa nebularia, TRINEB  
Szürke gém, Ardea cinerea, ARDCIN  
Szürke légykapó, Muscicapa striata, MUSSTR  
Szürke zsezse, Carduelis hornemanni, CARHOR  
Talpastyúk, Syrrhaptes paradoxus, SYRPAR  
Tavi cankó, Tringa stagnatilis, TRISTA  
Temminck-partfutó, Calidris temminckii, CALTEM  
Tengelic, Carduelis carduelis, CARCAR  
Tengeri partfutó, Calidris maritima, CALMAR  
Terekcankó, Xenus cinereus, XENCIN  
Tőkés réce, Anas plathyrhynchos, ANAPLA  
Törpegém, Ixobrychus minutus, IXOMIN  
Törpekuvik, Glaucidium passerinum, GLAPAS  
Törpesármány, Emberiza pusilla, EMBPUS  
Törpesas, Hieraaetus pennatus, HIEPEN  
Törpevízicsibe, Porzana pusilla, PORPUS  
Töviszúró gébics, Lanius collurio, LANCOL  
Tüskés bíbic, Hoplopterus spinosus, HOPSPI  
Tüzesfejű királyka, Regulus ignicapellus, REGIGN  
Túzok, Otis tarda, OTITAR  
Ugartyúk, Burhinus oedicnemus, BUROED  
Uhu, Bubo bubo, BUBBUB  
Uráli bagoly, Strix uralensis, STRURA  
Üstökösgém, Ardeola ralloides, ARDRAL  
Üstökös réce, Netta rufina, NETRUF  
Vadgerle, Streptopelia turtur, STRTUR  
Vándorfüzike, Phylloscopus inornatus, PHYINO  
Vándorpartfutó, Calidris melanotos, CALMEL  
Vándorsólyom, Falco peregrinus, FALPER  
Vastagcsőrű füzike, Phylloscopus schwarzi, PHYSCH  
Vékonycsőrű póling, Numenius tenuirostris, NUMTEN  
Vékonycsőrű sirály, Larus genei, LARGEN  
Vékonycsőrű víztaposó, Phalaropus lobatus, PHALOB  
Vetési lúd, Anser fabalis, ANSFAB  
Vetési varjú, Corvus frugilegus, CORFRU  
Viharsirály, Larus canus, LARCAN  
Vízirigó, Cinclus cinclus, CINCIN  
Vizityúk, Gallinula chloropus, GALCHL  
Vörhenyes fecske, Hirundo daurica, HIRDAU  
Vörös ásólúd, Tadorna ferruginea, TADFER  
Vörösbegy, Erithacus rubecula, ERIRUB  
Vörösfejű gébics, Lanius senator, LANSEN  
Vörös gém, Ardea purpurea, ARDPUR  
Vörös kánya, Milvus milvus, MILMIL  
Vörösnyakú lúd, Branta ruficollis, BRARUF  
Vörösnyakú vöcsök, Podiceps grisegena, PODENA  
Vörös vércse, Falco tinnunculus, FALTIN  
Zátonykócsag, Egretta gularis, EGRGUL  
Zöldike, Carduelis chloris, CARCHL  
Zöld küllő, Pica viridis, PICVIR  
Zöldszárnyú réce, Anas carolinensis, ANACAR  
Zsezse, Carduelis flammea, CARMEA
